Name,Type,,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId,CustomerPriority__c,SLA__c,Active__c,NumberofLocations__c,UpsellOpportunity__c,SLASerialNumber__c,SLAExpirationDate__c,Amount__c,Status__c
Test21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Test28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,04-12-2022 09:44,04-12-2022 09:44,0055g00000HLAidAAH,04-12-2022 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,26-12-2022 06:25,26-12-2022 06:25,0055g00000HLAidAAH,26-12-2022 06:25,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,26-12-2022 06:25,26-12-2022 06:25,0055g00000HLAidAAH,26-12-2022 06:25,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,26-12-2022 06:25,26-12-2022 06:25,0055g00000HLAidAAH,26-12-2022 06:25,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,26-12-2022 07:10,26-12-2022 07:10,0055g00000HLAidAAH,26-12-2022 07:10,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,26-12-2022 07:10,26-12-2022 07:10,0055g00000HLAidAAH,26-12-2022 07:10,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,26-12-2022 07:10,26-12-2022 07:10,0055g00000HLAidAAH,26-12-2022 07:10,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
theasc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,26-12-2022 07:12,26-12-2022 07:12,0055g00000HLAidAAH,26-12-2022 07:12,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
tempwww,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,30-12-2022 17:03,30-12-2022 17:03,0055g00000HLAidAAH,30-12-2022 17:03,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
newlycr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,01-01-2023 03:41,09-02-2023 11:47,0055g00000HLAidAAH,09-02-2023 11:47,,,,Pending,Other,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
seqLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,01-01-2023 06:30,01-01-2023 06:30,0055g00000HLAidAAH,01-01-2023 06:30,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Trigger2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold,,0055g00000HLAidAAH,01-01-2023 06:47,21-02-2023 12:35,0055g00000HLAidAAH,21-02-2023 12:35,,,,Pending,Web,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Trigfgddffdger2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,0055g00000HLAidAAH,01-01-2023 10:00,21-02-2023 12:34,0055g00000HLAidAAH,21-02-2023 12:34,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
atul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,0055g00000HLAidAAH,02-01-2023 06:36,21-04-2023 05:51,0055g00000HLAidAAH,21-04-2023 05:51,,,,Pending,Other,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
seqvbbLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:38,02-01-2023 12:38,0055g00000HLAidAAH,02-01-2023 12:38,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Trigger2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:38,02-01-2023 12:38,0055g00000HLAidAAH,02-01-2023 12:38,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Triggvcvcxer3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:38,02-01-2023 12:38,0055g00000HLAidAAH,02-01-2023 12:38,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
seqvbbLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:40,02-01-2023 12:40,0055g00000HLAidAAH,02-01-2023 12:40,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Trigger2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:40,02-01-2023 12:40,0055g00000HLAidAAH,02-01-2023 12:40,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Triggvcvcxer3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:40,02-01-2023 12:40,0055g00000HLAidAAH,02-01-2023 12:40,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
atul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,0055g00000HLAidAAH,02-01-2023 12:43,21-04-2023 05:51,0055g00000HLAidAAH,21-04-2023 05:51,,,,Pending,Other,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
atul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,0055g00000HLAidAAH,02-01-2023 12:43,21-04-2023 05:51,0055g00000HLAidAAH,21-04-2023 05:51,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
atul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warm,,0055g00000HLAidAAH,02-01-2023 12:43,21-04-2023 05:51,0055g00000HLAidAAH,21-04-2023 05:51,,,,Pending,Purchased List,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
seqvbbLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:45,02-01-2023 12:45,0055g00000HLAidAAH,02-01-2023 12:45,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Trigger2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:45,02-01-2023 12:45,0055g00000HLAidAAH,02-01-2023 12:45,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Triggvcvcxer3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:45,02-01-2023 12:45,0055g00000HLAidAAH,02-01-2023 12:45,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
seqvbbLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:49,02-01-2023 12:49,0055g00000HLAidAAH,02-01-2023 12:49,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Trigger2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:49,02-01-2023 12:49,0055g00000HLAidAAH,02-01-2023 12:49,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Triggvcvcxer3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 12:49,02-01-2023 12:49,0055g00000HLAidAAH,02-01-2023 12:49,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
seqvbbLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 13:55,02-01-2023 13:55,0055g00000HLAidAAH,02-01-2023 13:55,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Trigger2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 13:55,02-01-2023 13:55,0055g00000HLAidAAH,02-01-2023 13:55,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Triggvcvcxer3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 13:55,02-01-2023 13:55,0055g00000HLAidAAH,02-01-2023 13:55,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
seqvbbLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 13:56,02-01-2023 13:56,0055g00000HLAidAAH,02-01-2023 13:56,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Trigger2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 13:56,02-01-2023 13:56,0055g00000HLAidAAH,02-01-2023 13:56,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Triggvcvcxer3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,02-01-2023 13:56,02-01-2023 13:56,0055g00000HLAidAAH,02-01-2023 13:56,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
atul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,05-01-2023 16:36,21-04-2023 05:51,0055g00000HLAidAAH,21-04-2023 05:51,,,,Pending,Partner Referral,,,,,,,000000000000000AAA,000000000000000AAA,,,Yes,,,,,,
Trigger2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,0055g00000HLAidAAH,05-01-2023 16:36,21-02-2023 12:34,0055g00000HLAidAAH,21-02-2023 12:34,,,,Pending,Phone Inquiry,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Triggvcvcxer3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warm,,0055g00000HLAidAAH,05-01-2023 16:36,21-02-2023 12:35,0055g00000HLAidAAH,21-02-2023 12:35,,,,Pending,Web,,,,,,,000000000000000AAA,000000000000000AAA,,,No,,,,,,
seqvbbLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,05-01-2023 16:51,05-01-2023 16:51,0055g00000HLAidAAH,05-01-2023 16:51,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Trigger2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,05-01-2023 16:51,05-01-2023 16:51,0055g00000HLAidAAH,05-01-2023 16:51,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Triggvcvcxer3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,05-01-2023 16:51,05-01-2023 16:51,0055g00000HLAidAAH,05-01-2023 16:51,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
seqvbbLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,05-01-2023 17:23,05-01-2023 17:23,0055g00000HLAidAAH,05-01-2023 17:23,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Trigger2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,05-01-2023 17:23,05-01-2023 17:23,0055g00000HLAidAAH,05-01-2023 17:23,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Triggvcvcxer3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,05-01-2023 17:23,05-01-2023 17:23,0055g00000HLAidAAH,05-01-2023 17:23,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
newAccount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold,,0055g00000HLAidAAH,06-01-2023 09:44,21-02-2023 12:36,0055g00000HLAidAAH,21-02-2023 12:36,,,,Pending,Purchased List,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
newAccount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold,,0055g00000HLAidAAH,06-01-2023 12:31,21-02-2023 12:34,0055g00000HLAidAAH,21-02-2023 12:34,,,,Pending,Web,,,,,,,000000000000000AAA,000000000000000AAA,,,No,,,,,,
bhanu Sharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,null,,0055g00000HLAidAAH,10-01-2023 10:07,09-02-2023 07:51,0055g00000HLAidAAH,09-02-2023 07:51,,,,Pending,Partner Referral,,,,,,,000000000000000AAA,000000000000000AAA,,,Yes,,,,,,
CommunityUserAccount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warm,,0055g00000HLAidAAH,13-02-2023 11:02,21-02-2023 12:36,0055g00000HLAidAAH,21-02-2023 12:36,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
aasheesh singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold,,0055g00000HLAidAAH,15-02-2023 06:02,16-05-2023 10:26,0055g00000HLAidAAH,16-05-2023 10:26,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,Open
Account1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,21-02-2023 09:48,21-02-2023 09:48,0055g00000HLAidAAH,21-02-2023 09:48,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Account2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold,,0055g00000HLAidAAH,21-02-2023 09:48,21-02-2023 12:37,0055g00000HLAidAAH,21-02-2023 12:37,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
CommunityUser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,27-02-2023 03:11,27-02-2023 03:11,0055g00000HLAidAAH,27-02-2023 03:11,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
bhwani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,09-06-2023 08:24,09-06-2023 08:24,0055g00000HLAidAAH,09-06-2023 08:24,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,22-06-2023 07:05,22-06-2023 07:05,0055g00000HLAidAAH,22-06-2023 07:05,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
aasheesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,22-06-2023 07:05,22-06-2023 07:05,0055g00000HLAidAAH,22-06-2023 07:05,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
aasheesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,22-06-2023 09:05,22-06-2023 09:05,0055g00000HLAidAAH,22-06-2023 09:05,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Bhanu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,22-06-2023 10:38,22-06-2023 10:38,0055g00000HLAidAAH,22-06-2023 10:38,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Bhanu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,22-06-2023 10:38,22-06-2023 10:38,0055g00000HLAidAAH,22-06-2023 10:38,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
bhanuSHarma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,28-06-2023 10:55,28-06-2023 10:55,0055g00000HLAidAAH,28-06-2023 10:55,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
AshishSingh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,28-06-2023 10:55,28-06-2023 10:55,0055g00000HLAidAAH,28-06-2023 10:55,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
SampleAccount,,,,,,,,,,,,,,,,,,,1234567890,,,www.salesforce.com,,Banking,,100,,,,,,0055g00000HLAidAAH,29-06-2023 09:48,29-06-2023 09:48,0055g00000HLAidAAH,29-06-2023 09:48,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
SampleAccount2,,,,,,,,,,,,,,,,,,,1234567890,,,www.salesforce2.com,,Banking,,100,,,,,,0055g00000HLAidAAH,29-06-2023 09:48,29-06-2023 09:48,0055g00000HLAidAAH,29-06-2023 09:48,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
SampleAccount,,,,,,,,,,,,,,,,,,,1234567890,,,,,Banking,,100,,,,,,0055g00000HLAidAAH,05-07-2023 09:58,05-07-2023 09:58,0055g00000HLAidAAH,05-07-2023 09:58,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
SampleAccou444nt2,,,,,,,,,,,,,,,,,,,1234567890,,,www.salesforce2.com,,Banking,,100,,,,,,0055g00000HLAidAAH,05-07-2023 09:58,05-07-2023 09:58,0055g00000HLAidAAH,05-07-2023 09:58,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
Bhanu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,13-07-2023 09:44,13-07-2023 09:44,0055g00000HLAidAAH,13-07-2023 09:44,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
ashish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0055g00000HLAidAAH,13-07-2023 09:46,13-07-2023 09:46,0055g00000HLAidAAH,13-07-2023 09:46,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,Close
